Rank,Title,Weeks in Top 10,Views,Runtime,Hours Viewed,Region,Week
1,STRAW,2,"48,900,000",1:48,"88,000,000",Global,2025-06-15
2,Titan: The OceanGate Submersible Disaster,1,"17,400,000",1:52,"32,400,000",Global,2025-06-15
3,Plane,1,"6,300,000",1:47,"11,200,000",Global,2025-06-15
4,Trainwreck: The Astroworld Tragedy,1,"6,200,000",1:21,"8,400,000",Global,2025-06-15
5,Bee Movie,3,"4,800,000",1:32,"7,300,000",Global,2025-06-15
6,Get Hard,1,"4,400,000",1:40,"7,400,000",Global,2025-06-15
7,World War Z,2,"3,800,000",1:57,"7,400,000",Global,2025-06-15
8,The Super Mario Bros. Movie,22,"3,700,000",1:32,"5,600,000",Global,2025-06-15
9,Wonka,1,"3,300,000",1:56,"6,300,000",Global,2025-06-15
10,Mission: Impossible - Dead Reckoning,4,"2,500,000",2:44,"6,700,000",Global,2025-06-15
1,Fear Street: Prom Queen,2,"8,500,000",1:30,"12,700,000",Global,2025-06-01
2,The Wild Robot,3,"5,800,000",1:42,"9,900,000",Global,2025-06-01
3,Aquaman and the Lost Kingdom,2,"5,800,000",2:04,"12,000,000",Global,2025-06-01
4,Nonnas,5,"5,600,000",1:54,"10,700,000",Global,2025-06-01
5,Puss in Boots: The Last Wish,6,"5,100,000",1:42,"8,600,000",Global,2025-06-01
6,Havoc,6,"3,800,000",1:47,"6,700,000",Global,2025-06-01
7,Instant Family,3,"3,500,000",1:59,"6,900,000",Global,2025-06-01
8,Dr. Seuss' The Cat in the Hat,2,"2,400,000",1:22,"3,300,000",Global,2025-06-01
9,Pig,1,"2,400,000",1:31,"3,600,000",Global,2025-06-01
10,The Boss Baby,21,"2,300,000",1:38,"3,800,000",Global,2025-06-01
1,Fear Street: Prom Queen,2,"10,700,000",1:30,"16,000,000",Global,2025-05-25
2,Puss in Boots: The Last Wish,6,"8,700,000",1:42,"14,800,000",Global,2025-05-25
3,Nonnas,5,"8,400,000",1:54,"16,000,000",Global,2025-05-25
4,Untold: The Fall of Favre,1,"6,800,000",1:04,"7,300,000",Global,2025-05-25
5,Instant Family,3,"5,300,000",1:59,"10,600,000",Global,2025-05-25
6,Havoc,6,"5,000,000",1:47,"9,000,000",Global,2025-05-25
7,A Deadly American Marriage,3,"4,400,000",1:43,"7,500,000",Global,2025-05-25
8,Dr. Seuss' The Cat in the Hat,2,"4,000,000",1:22,"5,500,000",Global,2025-05-25
9,Air Force Elite: Thunderbirds,1,"3,800,000",1:31,"5,700,000",Global,2025-05-25
10,The Wild Robot,3,"3,300,000",1:42,"5,600,000",Global,2025-05-25
1,Nonnas,5,"20,000,000",1:54,"38,000,000",Global,2025-05-18
2,A Deadly American Marriage,3,"12,800,000",1:43,"22,000,000",Global,2025-05-18
3,Havoc,6,"5,600,000",1:47,"9,900,000",Global,2025-05-18
4,Untold: The Liver King,1,"5,000,000",1:08,"5,700,000",Global,2025-05-18
5,Inside Man: Most Wanted,2,"4,600,000",1:46,"8,100,000",Global,2025-05-18
6,Instant Family,3,"3,300,000",1:59,"6,600,000",Global,2025-05-18
7,Home,7,"2,700,000",1:34,"4,300,000",Global,2025-05-18
8,Beetlejuice Beetlejuice,2,"2,600,000",1:45,"4,600,000",Global,2025-05-18
9,It Takes Two,2,"2,600,000",1:41,"4,400,000",Global,2025-05-18
10,High Plains Drifter,1,"2,300,000",1:45,"4,100,000",Global,2025-05-18
1,Nonnas,5,"15,300,000",1:54,"29,000,000",Global,2025-05-11
2,Inside Man: Most Wanted,2,"12,300,000",1:46,"21,800,000",Global,2025-05-11
3,A Deadly American Marriage,3,"9,800,000",1:43,"16,900,000",Global,2025-05-11
4,Havoc,6,"9,100,000",1:47,"16,300,000",Global,2025-05-11
5,Twilight,4,"4,300,000",2:02,"8,700,000",Global,2025-05-11
6,Where the Crawdads Sing,5,"4,200,000",2:05,"8,700,000",Global,2025-05-11
7,It Takes Two,2,"4,100,000",1:41,"6,900,000",Global,2025-05-11
8,Home,7,"3,900,000",1:34,"6,100,000",Global,2025-05-11
9,Britain and The Blitz,1,"3,700,000",1:18,"4,800,000",Global,2025-05-11
10,Beetlejuice Beetlejuice,2,"3,400,000",1:45,"6,000,000",Global,2025-05-11
1,Havoc,6,"29,800,000",1:47,"53,100,000",Global,2025-04-27
2,Life or Something Like It,2,"5,500,000",1:44,"9,600,000",Global,2025-04-27
3,The Life List,6,"5,500,000",2:05,"11,500,000",Global,2025-04-27
4,Woody Woodpecker,4,"5,500,000",1:31,"8,300,000",Global,2025-04-27
5,Oklahoma City Bombing: American Terror,2,"4,400,000",1:25,"6,300,000",Global,2025-04-27
