Title,YouTube Title,Video ID,Video URL,Published At,View Count,Like Count,Comment Count,Duration
STRAW,Tyler Perry’s STRAW | Official Trailer | Netflix,k1vWhii4tkE,https://www.youtube.com/watch?v=k1vWhii4tkE,2025-05-14T15:00:01Z,3653768,41122,6071,PT2M3S
Titan: The OceanGate Submersible Disaster,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,CplcmrxZMyo,https://www.youtube.com/watch?v=CplcmrxZMyo,2025-05-22T13:30:00Z,1924834,19839,2293,PT1M31S
Plane,"Plane (2023) Official Trailer – Gerard Butler, Mike Colter, Yoson An",M25zXBIUVr0,https://www.youtube.com/watch?v=M25zXBIUVr0,2022-10-26T16:00:17Z,32270483,43569,3393,PT2M39S
Trainwreck: The Astroworld Tragedy,Trainwreck: The Astroworld Tragedy | Official Trailer | Netflix,I6h2NrQIGQs,https://www.youtube.com/watch?v=I6h2NrQIGQs,2025-05-14T17:00:00Z,329861,7064,1663,PT2M3S
Bee Movie,Bee Movie - Official Trailer 2007 [HD],VONRQMx78YI,https://www.youtube.com/watch?v=VONRQMx78YI,2012-11-03T23:16:02Z,1958635,7229,1446,PT1M31S
Get Hard,"Get Hard Official Trailer #1 (2015) - Will Ferrell, Kevin Hart Movie HD",lEqrpuU9fYI,https://www.youtube.com/watch?v=lEqrpuU9fYI,2014-12-19T19:05:57Z,14003217,38453,1990,PT2M25S
World War Z,World War Z Official Trailer #1 (2013) - Brad Pitt Movie HD,Md6Dvxdr0AQ,https://www.youtube.com/watch?v=Md6Dvxdr0AQ,2012-11-09T00:12:22Z,17710909,78657,12674,PT2M24S
The Super Mario Bros. Movie,The Super Mario Bros. Movie | Official Trailer,TnGl01FkMMo,https://www.youtube.com/watch?v=TnGl01FkMMo,2022-11-29T22:05:04Z,34033531,285424,0,PT2M10S
Wonka,WONKA | Official Trailer,otNh9bTjXWg,https://www.youtube.com/watch?v=otNh9bTjXWg,2023-07-11T16:00:39Z,46785154,486638,30082,PT2M28S
Mission: Impossible - Dead Reckoning,Mission: Impossible – Dead Reckoning | Official Trailer (2023 Movie) - Tom Cruise,avz06PDqDbM,https://www.youtube.com/watch?v=avz06PDqDbM,2023-05-17T13:00:00Z,32548792,340073,15887,PT2M28S
