Rank,Title,Weeks in Top 10,Views,Runtime,Hours Viewed,Region,Week
01,STRAW,2,"48,900,000",1:48,"88,000,000",Global,2025-06-15
02,Titan: The OceanGate Submersible Disaster,1,"17,400,000",1:52,"32,400,000",Global,2025-06-15
03,Plane,1,"6,300,000",1:47,"11,200,000",Global,2025-06-15
04,Trainwreck: The Astroworld Tragedy,1,"6,200,000",1:21,"8,400,000",Global,2025-06-15
05,Bee Movie,3,"4,800,000",1:32,"7,300,000",Global,2025-06-15
06,Get Hard,1,"4,400,000",1:40,"7,400,000",Global,2025-06-15
07,World War Z,2,"3,800,000",1:57,"7,400,000",Global,2025-06-15
08,The Super Mario Bros. Movie,22,"3,700,000",1:32,"5,600,000",Global,2025-06-15
09,Wonka,1,"3,300,000",1:56,"6,300,000",Global,2025-06-15
10,Mission: Impossible - Dead Reckoning,4,"2,500,000",2:44,"6,700,000",Global,2025-06-15
01,Fear Street: Prom Queen,2,"8,500,000",1:30,"12,700,000",Global,2025-06-01
02,The Wild Robot,3,"5,800,000",1:42,"9,900,000",Global,2025-06-01
03,Aquaman and the Lost Kingdom,2,"5,800,000",2:04,"12,000,000",Global,2025-06-01
04,Nonnas,5,"5,600,000",1:54,"10,700,000",Global,2025-06-01
05,Puss in Boots: The Last Wish,6,"5,100,000",1:42,"8,600,000",Global,2025-06-01
06,Havoc,6,"3,800,000",1:47,"6,700,000",Global,2025-06-01
07,Instant Family,3,"3,500,000",1:59,"6,900,000",Global,2025-06-01
08,Dr. Seuss' The Cat in the Hat,2,"2,400,000",1:22,"3,300,000",Global,2025-06-01
09,Pig,1,"2,400,000",1:31,"3,600,000",Global,2025-06-01
10,The Boss Baby,21,"2,300,000",1:38,"3,800,000",Global,2025-06-01
01,Fear Street: Prom Queen,2,"10,700,000",1:30,"16,000,000",Global,2025-05-25
02,Puss in Boots: The Last Wish,6,"8,700,000",1:42,"14,800,000",Global,2025-05-25
03,Nonnas,5,"8,400,000",1:54,"16,000,000",Global,2025-05-25
04,Untold: The Fall of Favre,1,"6,800,000",1:04,"7,300,000",Global,2025-05-25
05,Instant Family,3,"5,300,000",1:59,"10,600,000",Global,2025-05-25
06,Havoc,6,"5,000,000",1:47,"9,000,000",Global,2025-05-25
07,A Deadly American Marriage,3,"4,400,000",1:43,"7,500,000",Global,2025-05-25
08,Dr. Seuss' The Cat in the Hat,2,"4,000,000",1:22,"5,500,000",Global,2025-05-25
09,Air Force Elite: Thunderbirds,1,"3,800,000",1:31,"5,700,000",Global,2025-05-25
10,The Wild Robot,3,"3,300,000",1:42,"5,600,000",Global,2025-05-25
01,Nonnas,5,"20,000,000",1:54,"38,000,000",Global,2025-05-18
02,A Deadly American Marriage,3,"12,800,000",1:43,"22,000,000",Global,2025-05-18
03,Havoc,6,"5,600,000",1:47,"9,900,000",Global,2025-05-18
04,Untold: The Liver King,1,"5,000,000",1:08,"5,700,000",Global,2025-05-18
05,Inside Man: Most Wanted,2,"4,600,000",1:46,"8,100,000",Global,2025-05-18
06,Instant Family,3,"3,300,000",1:59,"6,600,000",Global,2025-05-18
07,Home,7,"2,700,000",1:34,"4,300,000",Global,2025-05-18
08,Beetlejuice Beetlejuice,2,"2,600,000",1:45,"4,600,000",Global,2025-05-18
09,It Takes Two,2,"2,600,000",1:41,"4,400,000",Global,2025-05-18
10,High Plains Drifter,1,"2,300,000",1:45,"4,100,000",Global,2025-05-18
01,Nonnas,5,"15,300,000",1:54,"29,000,000",Global,2025-05-11
02,Inside Man: Most Wanted,2,"12,300,000",1:46,"21,800,000",Global,2025-05-11
03,A Deadly American Marriage,3,"9,800,000",1:43,"16,900,000",Global,2025-05-11
04,Havoc,6,"9,100,000",1:47,"16,300,000",Global,2025-05-11
05,Twilight,4,"4,300,000",2:02,"8,700,000",Global,2025-05-11
06,Where the Crawdads Sing,5,"4,200,000",2:05,"8,700,000",Global,2025-05-11
07,It Takes Two,2,"4,100,000",1:41,"6,900,000",Global,2025-05-11
08,Home,7,"3,900,000",1:34,"6,100,000",Global,2025-05-11
09,Britain and The Blitz,1,"3,700,000",1:18,"4,800,000",Global,2025-05-11
10,Beetlejuice Beetlejuice,2,"3,400,000",1:45,"6,000,000",Global,2025-05-11
01,Havoc,6,"29,800,000",1:47,"53,100,000",Global,2025-04-27
02,Life or Something Like It,2,"5,500,000",1:44,"9,600,000",Global,2025-04-27
03,The Life List,6,"5,500,000",2:05,"11,500,000",Global,2025-04-27
04,Woody Woodpecker,4,"5,500,000",1:31,"8,300,000",Global,2025-04-27
05,Oklahoma City Bombing: American Terror,2,"4,400,000",1:25,"6,300,000",Global,2025-04-27
06,American Sniper,1,"4,400,000",2:13,"9,700,000",Global,2025-04-27
07,The Two Popes,2,"3,200,000",2:06,"6,800,000",Global,2025-04-27
08,Despicable Me 4,9,"2,900,000",1:34,"4,500,000",Global,2025-04-27
09,A Dog's Way Home,2,"2,800,000",1:36,"4,500,000",Global,2025-04-27
10,Back in Action,7,"2,600,000",1:54,"5,000,000",Global,2025-04-27
01,The Life List,6,"7,500,000",2:05,"15,600,000",Global,2025-04-20
02,Meet the Khumalos,2,"5,700,000",1:33,"8,800,000",Global,2025-04-20
03,Life or Something Like It,2,"5,500,000",1:44,"9,600,000",Global,2025-04-20
04,Oklahoma City Bombing: American Terror,2,"4,400,000",1:25,"6,300,000",Global,2025-04-20
05,Rise of the Guardians,2,"3,100,000",1:40,"5,100,000",Global,2025-04-20
06,The Croods,11,"3,000,000",1:38,"4,900,000",Global,2025-04-20
07,Despicable Me 4,9,"2,900,000",1:34,"4,500,000",Global,2025-04-20
08,Minions,14,"2,600,000",1:31,"4,000,000",Global,2025-04-20
09,The Boss Baby,21,"2,600,000",1:38,"4,300,000",Global,2025-04-20
10,Despicable Me 3,9,"2,500,000",1:30,"3,800,000",Global,2025-04-20
01,The Life List,6,"13,100,000",2:05,"27,200,000",Global,2025-04-13
02,Alpha,2,"5,700,000",1:37,"9,200,000",Global,2025-04-13
03,Rise of the Guardians,2,"5,400,000",1:40,"9,000,000",Global,2025-04-13
04,Meet the Khumalos,2,"4,800,000",1:33,"7,500,000",Global,2025-04-13
05,The Croods,11,"4,100,000",1:38,"6,700,000",Global,2025-04-13
06,Bloodshot,5,"3,100,000",1:49,"5,600,000",Global,2025-04-13
07,One of Them Days,2,"3,000,000",1:37,"4,900,000",Global,2025-04-13
08,Despicable Me 4,9,"2,600,000",1:34,"4,100,000",Global,2025-04-13
09,Lucy,2,"2,600,000",1:29,"3,800,000",Global,2025-04-13
10,PAW Patrol: The Mighty Movie,4,"2,500,000",1:28,"3,700,000",Global,2025-04-13
01,The Life List,6,"29,200,000",2:05,"60,800,000",Global,2025-04-06
02,One of Them Days,2,"7,700,000",1:37,"12,400,000",Global,2025-04-06
03,Alpha,2,"5,500,000",1:37,"8,900,000",Global,2025-04-06
04,Geostorm,1,"4,900,000",1:49,"8,900,000",Global,2025-04-06
05,Sniper: Rogue Mission,1,"4,800,000",1:36,"7,700,000",Global,2025-04-06
06,The Core,1,"4,500,000",2:15,"10,100,000",Global,2025-04-06
07,Kraven the Hunter,4,"4,200,000",2:07,"8,800,000",Global,2025-04-06
08,Con Mum,2,"4,000,000",1:29,"5,900,000",Global,2025-04-06
09,The Electric State,4,"3,800,000",2:08,"8,200,000",Global,2025-04-06
10,Robinson Crusoe,1,"3,400,000",1:31,"5,100,000",Global,2025-04-06
01,The Life List,6,"24,400,000",2:05,"50,800,000",Global,2025-03-30
02,The Electric State,4,"7,600,000",2:08,"16,300,000",Global,2025-03-30
03,Con Mum,2,"6,300,000",1:29,"9,400,000",Global,2025-03-30
04,Den of Thieves 2: Pantera,2,"6,000,000",2:24,"14,300,000",Global,2025-03-30
05,The Twister: Caught in the Storm,2,"5,500,000",1:29,"8,100,000",Global,2025-03-30
06,Kraven the Hunter,4,"5,400,000",2:07,"11,500,000",Global,2025-03-30
07,A Quiet Place: Day One,2,"4,600,000",1:40,"7,700,000",Global,2025-03-30
08,Despicable Me 4,9,"4,100,000",1:34,"6,400,000",Global,2025-03-30
09,PAW Patrol: The Mighty Movie,4,"3,900,000",1:28,"5,700,000",Global,2025-03-30
10,Plankton: The Movie,4,"3,300,000",1:28,"4,800,000",Global,2025-03-30
01,The Electric State,4,"22,500,000",2:08,"48,000,000",Global,2025-03-23
02,The Twister: Caught in the Storm,2,"17,000,000",1:29,"25,200,000",Global,2025-03-23
03,Den of Thieves 2: Pantera,2,"8,400,000",2:24,"20,100,000",Global,2025-03-23
04,Kraven the Hunter,4,"6,000,000",2:07,"12,800,000",Global,2025-03-23
05,A Quiet Place: Day One,2,"5,700,000",1:40,"9,500,000",Global,2025-03-23
06,Plankton: The Movie,4,"5,500,000",1:28,"8,000,000",Global,2025-03-23
07,Despicable Me 4,9,"4,900,000",1:34,"7,700,000",Global,2025-03-23
08,Morbius,3,"4,900,000",1:44,"8,500,000",Global,2025-03-23
09,Infinite Storm,1,"4,800,000",1:38,"7,900,000",Global,2025-03-23
10,Trap,2,"4,500,000",1:45,"7,800,000",Global,2025-03-23
01,The Electric State,4,"25,200,000",2:08,"53,800,000",Global,2025-03-16
02,Plankton: The Movie,4,"13,400,000",1:28,"19,600,000",Global,2025-03-16
03,Kraven the Hunter,4,"7,100,000",2:07,"15,000,000",Global,2025-03-16
04,Trap,2,"6,700,000",1:45,"11,800,000",Global,2025-03-16
05,Despicable Me 4,9,"6,100,000",1:34,"9,500,000",Global,2025-03-16
06,IF,1,"5,700,000",1:44,"9,800,000",Global,2025-03-16
07,Bee Movie,3,"4,300,000",1:32,"6,600,000",Global,2025-03-16
08,Chaos: The Manson Murders,2,"3,300,000",1:37,"5,400,000",Global,2025-03-16
09,The Boss Baby,21,"3,300,000",1:38,"5,400,000",Global,2025-03-16
10,The Croods,11,"3,300,000",1:38,"5,400,000",Global,2025-03-16
01,Plankton: The Movie,4,"14,300,000",1:28,"21,000,000",Global,2025-03-09
02,Despicable Me 4,9,"10,100,000",1:34,"15,900,000",Global,2025-03-09
03,Chaos: The Manson Murders,2,"5,000,000",1:37,"8,100,000",Global,2025-03-09
04,Venom: The Last Dance,2,"5,000,000",1:49,"9,000,000",Global,2025-03-09
05,Sicario,1,"4,600,000",2:01,"9,200,000",Global,2025-03-09
06,Runaway Jury,1,"4,500,000",2:08,"9,700,000",Global,2025-03-09
07,Midnight in the Switchgrass,1,"4,500,000",1:39,"7,500,000",Global,2025-03-09
08,Despicable Me 3,9,"4,300,000",1:30,"6,400,000",Global,2025-03-09
09,Minions,14,"4,100,000",1:31,"6,200,000",Global,2025-03-09
10,The Boss Baby,21,"4,000,000",1:38,"6,600,000",Global,2025-03-09
01,Venom: The Last Dance,2,"12,800,000",1:49,"23,300,000",Global,2025-03-02
02,Despicable Me 4,9,"8,800,000",1:34,"13,800,000",Global,2025-03-02
03,Despicable Me 3,9,"6,900,000",1:30,"10,300,000",Global,2025-03-02
04,Minions,14,"5,900,000",1:31,"9,000,000",Global,2025-03-02
05,Uncharted,5,"5,200,000",1:56,"10,100,000",Global,2025-03-02
06,The Super Mario Bros. Movie,22,"4,600,000",1:32,"7,100,000",Global,2025-03-02
07,La Dolce Villa,3,"4,500,000",1:39,"7,400,000",Global,2025-03-02
08,Despicable Me 2,18,"4,500,000",1:38,"7,300,000",Global,2025-03-02
09,To Catch a Killer,2,"4,000,000",1:59,"8,000,000",Global,2025-03-02
10,Dungeons & Dragons: Honor Among Thieves,3,"3,800,000",2:14,"8,400,000",Global,2025-03-02
01,La Dolce Villa,3,"14,100,000",1:39,"23,300,000",Global,2025-02-23
02,Uncharted,5,"10,500,000",1:56,"20,300,000",Global,2025-02-23
03,Despicable Me 3,9,"7,900,000",1:30,"11,900,000",Global,2025-02-23
04,To Catch a Killer,2,"6,700,000",1:59,"13,300,000",Global,2025-02-23
05,Minions,14,"6,100,000",1:31,"9,300,000",Global,2025-02-23
06,Despicable Me 2,18,"5,900,000",1:38,"9,600,000",Global,2025-02-23
07,Trial by Fire,1,"4,600,000",2:07,"9,700,000",Global,2025-02-23
08,Kinda Pregnant,3,"4,300,000",1:40,"7,100,000",Global,2025-02-23
09,Back in Action,7,"4,100,000",1:54,"7,700,000",Global,2025-02-23
10,Despicable Me,9,"4,000,000",1:35,"6,300,000",Global,2025-02-23
01,La Dolce Villa,3,"19,800,000",1:39,"32,700,000",Global,2025-02-16
02,Kinda Pregnant,3,"13,700,000",1:40,"22,800,000",Global,2025-02-16
03,Aftermath,1,"9,900,000",1:35,"15,600,000",Global,2025-02-16
04,Shrek,12,"7,000,000",1:30,"10,500,000",Global,2025-02-16
05,Shrek 2,5,"6,100,000",1:33,"9,400,000",Global,2025-02-16
06,Back in Action,7,"5,700,000",1:54,"10,800,000",Global,2025-02-16
07,The Witcher: Sirens of the Deep,1,"4,800,000",1:32,"7,300,000",Global,2025-02-16
08,Norbit,1,"3,900,000",1:43,"6,700,000",Global,2025-02-16
09,Mission: Impossible - Dead Reckoning,4,"3,900,000",2:44,"10,600,000",Global,2025-02-16
10,Shrek the Third,2,"3,600,000",1:35,"5,700,000",Global,2025-02-16
01,Kinda Pregnant,3,"25,100,000",1:40,"41,900,000",Global,2025-02-09
02,Back in Action,7,"9,200,000",1:54,"17,400,000",Global,2025-02-09
03,Shrek,12,"7,300,000",1:30,"11,000,000",Global,2025-02-09
04,Shrek 2,5,"5,500,000",1:33,"8,600,000",Global,2025-02-09
05,The Menu,2,"4,400,000",1:47,"7,800,000",Global,2025-02-09
06,Spider-Man: No Way Home,2,"4,200,000",2:28,"10,400,000",Global,2025-02-09
07,Spider-Man: No Way Home (Extended Version),1,"3,000,000",2:37,"7,800,000",Global,2025-02-09
08,The Secret Life of Pets 2,9,"2,900,000",1:26,"4,200,000",Global,2025-02-09
09,Shrek the Third,2,"2,800,000",1:35,"4,400,000",Global,2025-02-09
10,The Sentinel,2,"2,600,000",1:48,"4,700,000",Global,2025-02-09
01,Back in Action,7,"18,400,000",1:54,"35,000,000",Global,2025-02-02
02,The Sentinel,2,"7,900,000",1:48,"14,200,000",Global,2025-02-02
03,Under the Boardwalk,1,"5,800,000",1:27,"8,400,000",Global,2025-02-02
04,The Secret Life of Pets 2,9,"4,700,000",1:26,"6,700,000",Global,2025-02-02
05,The Lovely Bones,1,"3,300,000",2:16,"7,400,000",Global,2025-02-02
06,The Secret Life of Pets,9,"3,200,000",1:27,"4,600,000",Global,2025-02-02
07,The Menu,2,"2,400,000",1:47,"4,200,000",Global,2025-02-02
08,Scream VI,1,"2,200,000",2:03,"4,500,000",Global,2025-02-02
09,Minions: The Rise of Gru,11,"2,200,000",1:28,"3,200,000",Global,2025-02-02
10,Carry-On,8,"2,100,000",2:00,"4,100,000",Global,2025-02-02
01,Back in Action,7,"46,800,000",1:54,"88,900,000",Global,2025-01-26
02,The Secret Life of Pets 2,9,"6,700,000",1:26,"9,600,000",Global,2025-01-26
03,The Secret Life of Pets,9,"4,300,000",1:27,"6,200,000",Global,2025-01-26
04,Father Stu,3,"3,600,000",2:05,"7,400,000",Global,2025-01-26
05,You Gotta Believe,1,"3,300,000",1:44,"5,700,000",Global,2025-01-26
06,To All the Boys I’ve Loved Before,1,"3,100,000",1:40,"5,200,000",Global,2025-01-26
07,Minions: The Rise of Gru,11,"2,900,000",1:28,"4,200,000",Global,2025-01-26
08,Despicable Me 2,18,"2,800,000",1:38,"4,600,000",Global,2025-01-26
09,Carry-On,8,"2,700,000",2:00,"5,300,000",Global,2025-01-26
10,Knight and Day,3,"2,600,000",1:49,"4,700,000",Global,2025-01-26
01,Back in Action,7,"46,800,000",1:54,"88,900,000",Global,2025-01-19
02,The Secret Life of Pets 2,9,"8,900,000",1:26,"12,700,000",Global,2025-01-19
03,The Secret Life of Pets,9,"5,200,000",1:27,"7,600,000",Global,2025-01-19
04,Knight and Day,3,"5,200,000",1:49,"9,500,000",Global,2025-01-19
05,Carry-On,8,"3,600,000",2:00,"7,100,000",Global,2025-01-19
06,Despicable Me 2,18,"3,400,000",1:38,"5,500,000",Global,2025-01-19
07,Ma,3,"3,200,000",1:39,"5,300,000",Global,2025-01-19
08,Sonic the Hedgehog,12,"2,700,000",1:41,"4,500,000",Global,2025-01-19
09,Despicable Me,9,"2,700,000",1:35,"4,200,000",Global,2025-01-19
10,Eye for an Eye,2,"2,400,000",1:42,"4,000,000",Global,2025-01-19
01,The Secret Life of Pets 2,9,"15,000,000",1:26,"21,500,000",Global,2025-01-12
02,Carry-On,8,"7,200,000",2:00,"14,300,000",Global,2025-01-12
03,Ma,3,"7,000,000",1:39,"11,500,000",Global,2025-01-12
04,The Secret Life of Pets,9,"6,200,000",1:27,"9,000,000",Global,2025-01-12
05,Despicable Me 2,18,"4,900,000",1:38,"8,000,000",Global,2025-01-12
06,Wallace & Gromit: Vengeance Most Fowl,1,"4,600,000",1:22,"6,300,000",Global,2025-01-12
07,Despicable Me,9,"4,400,000",1:35,"6,900,000",Global,2025-01-12
08,Eye for an Eye,2,"4,400,000",1:42,"7,400,000",Global,2025-01-12
09,The Six Triple Eight,4,"4,000,000",2:10,"8,700,000",Global,2025-01-12
10,Sonic the Hedgehog,12,"3,600,000",1:41,"6,100,000",Global,2025-01-12
01,Carry-On,8,"17,400,000",2:00,"34,700,000",Global,2025-01-05
02,The Six Triple Eight,4,"10,800,000",2:10,"23,500,000",Global,2025-01-05
03,The Secret Life of Pets 2,9,"5,700,000",1:26,"8,200,000",Global,2025-01-05
04,Dr. Seuss' The Grinch,12,"5,400,000",1:26,"7,700,000",Global,2025-01-05
05,Avicii - I'm Tim,1,"5,200,000",1:37,"8,400,000",Global,2025-01-05
06,Non-Stop,1,"4,200,000",1:47,"7,500,000",Global,2025-01-05
07,Horizon: An American Saga: Chapter 1,1,"4,000,000",3:01,"12,000,000",Global,2025-01-05
08,That Christmas,5,"3,800,000",1:36,"6,100,000",Global,2025-01-05
09,Furiosa: A Mad Max Saga,1,"3,800,000",2:28,"9,300,000",Global,2025-01-05
10,In the Heart of the Sea,1,"3,700,000",2:02,"7,600,000",Global,2025-01-05
